Id,SampleEventId,InputFileId,SpecConductivity,pHValue,DO,DOUnits,DOC,DOCUnits,NH4,NH4Units,SRP,SRPUnits,NO3,NO3Units,TDN,TDNUnits,TN,TNUnits,TDP,TDPUnits,TP,TPUnits,OtherElementsReported,StatisticalPooling,SampleSize,WaterSampleId,Notes
3180,3429,2,77.1,7.735,NA,NA,261.2,umol_L,8.43,umol_L,-999999999,umol_L,-999999999,umol_L,8.741,umol_L,9.162,umol_L,-999999999,umol_L,1.4,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""WLOU.SS.20170626""]}","{""externalLabDataByAnalyte"":[""Source value of Ortho-P may be below detection limit but was not flagged in source data.""],""sample date and time"":[""2017-06-26T17:23:00""]}"
3181,3430,2,78.5,7.71,NA,NA,184.4,umol_L,5.8,umol_L,1.4,umol_L,-999999999,umol_L,-999999999,umol_L,-999999999,umol_L,-999999999,umol_L,0.097,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""WLOU.SS.20170629""]}","{""sample date and time"":[""2017-06-29T15:39:00""]}"
3182,3431,2,92.4,7.47,NA,NA,207.8,umol_L,4.2,umol_L,-999999999,umol_L,-999999999,umol_L,7.47,umol_L,-999999999,umol_L,0.032,umol_L,0.065,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""WLOU.SS.20170713""]}","{""externalLabDataByAnalyte"":[""Source value of Ortho-P may be below detection limit but was not flagged in source data.""],""sample date and time"":[""2017-07-13T15:15:00""]}"
3183,3432,2,102.3,7.755,NA,NA,124.8,umol_L,-999999999,umol_L,1.2,umol_L,-999999999,umol_L,-999999999,umol_L,7.177,umol_L,0.51,umol_L,0.914,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""WLOU.SS.20170731""]}","{""sample date and time"":[""2017-07-31T14:22:00""]}"
3184,3433,2,101.8,7.815,NA,NA,123.8,umol_L,-999999999,umol_L,-999999999,umol_L,-999999999,umol_L,-999999999,umol_L,-999999999,umol_L,-999999999,umol_L,0.494,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""WLOU.SS.20170810""]}","{""externalLabDataByAnalyte"":[""Source value of Ortho-P may be below detection limit but was not flagged in source data.""],""sample date and time"":[""2017-08-10T14:52:00""]}"
3185,3434,2,83.6,7.78,NA,NA,106.8,umol_L,-999999999,umol_L,-999999999,umol_L,-999999999,umol_L,-999999999,umol_L,-999999999,umol_L,0.1,umol_L,0.19,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""WLOU.SS.20170907""]}","{""externalLabDataByAnalyte"":[""Source value of Ortho-P may be below detection limit but was not flagged in source data.""],""sample date and time"":[""2017-09-07T14:25:00""]}"
3186,3435,2,110.2,7.756667,NA,NA,134.7,umol_L,7.40194617,umol_L,-999999999,umol_L,-999999999,umol_L,7.5233,umol_L,7.1591,umol_L,0.065,umol_L,0.81,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""WLOU.SS.20171010""]}","{""sample date and time"":[""2017-10-10T18:55:00""]}"
3187,3436,2,110.8,7.635,NA,NA,128.7,umol_L,12.4,umol_L,-999999999,umol_L,-999999999,umol_L,-999999999,umol_L,-999999999,umol_L,0.032,umol_L,1.8,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""WLOU.SS.20171031""]}","{""sample date and time"":[""2017-10-31T16:38:00""]}"
3188,3437,2,89.5,7.835,NA,NA,96.7,umol_L,8.091,umol_L,-999999999,umol_L,26.7,umol_L,-999999999,umol_L,-999999999,umol_L,0.13,umol_L,0.19,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""WLOU.SS.20171114""]}","{""sample date and time"":[""2017-11-14T16:55:00""]}"
3189,3438,2,120.3,7.67,NA,NA,77.8,umol_L,15.42,umol_L,-999999999,umol_L,3.68,umol_L,-999999999,umol_L,-999999999,umol_L,0.29,umol_L,0.39,umol_L,TRUE,NA,NA,"{""parentSampleID"":[""WLOU.SS.20171213""]}","{""sample date and time"":[""2017-12-13T17:30:00""]}"
